City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-2.74,88,24,24,24,24
1,adamstown,-25.066,-130.1015,22.31,85,92,92,92,92
2,waitangi,-43.9535,-176.5597,9.34,85,100,100,100,100
3,iqaluit,63.7506,-68.5145,4.85,86,20,20,20,20
4,al jawf,29.5,38.75,25.49,32,0,0,0,0
5,puerto natales,-51.7236,-72.4875,2.26,95,99,99,99,99
6,troitskoye,52.9821,84.6757,20.96,43,13,13,13,13
7,yellowknife,62.456,-114.3525,21.29,43,75,75,75,75
8,stanley,54.868,-1.6985,10.5,84,0,0,0,0
9,tyuratam,45.6507,63.3156,27.09,41,1,1,1,1
10,port saint john's,-31.6229,29.5448,18.16,69,93,93,93,93
11,albany,42.6001,-73.9662,20.32,82,100,100,100,100
12,mananjary,-21.2167,48.3333,19.42,90,88,88,88,88
13,broome,42.2506,-75.833,18.82,91,94,94,94,94
14,cadale,2.7603,46.3222,24.36,84,100,100,100,100
15,isafjordur,66.0755,-23.124,9.8,62,14,14,14,14
16,jamestown,42.097,-79.2353,21.77,88,0,0,0,0
17,arkhangel'sk,64.5401,40.5433,13.2,92,6,6,6,6
18,ushuaia,-54.8,-68.3,1.81,80,0,0,0,0
19,port-aux-francais,-49.35,70.2167,1.63,72,57,57,57,57
20,tiksi,71.6872,128.8694,18.05,45,7,7,7,7
21,edinburgh of the seven seas,-37.0676,-12.3116,11.8,81,100,100,100,100
22,sinan,34.8262,126.1086,31.06,81,100,100,100,100
23,praia da vitoria,38.7333,-27.0667,24.14,83,40,40,40,40
24,east london,-33.0153,27.9116,17.01,81,100,100,100,100
25,bandarbeyla,9.4942,50.8122,24.22,75,100,100,100,100
26,allen,41.0706,-85.0144,21.22,80,40,40,40,40
27,prado,-17.3411,-39.2208,21.8,89,10,10,10,10
28,vila velha,-20.3297,-40.2925,22.97,91,40,40,40,40
29,ilulissat,69.2167,-51.1,8.01,66,75,75,75,75
30,jingdezhen,29.2947,117.2079,31.51,70,17,17,17,17
31,berdigestyakh,62.0989,126.6992,22.02,38,11,11,11,11
32,hawaiian paradise park,19.5933,-154.9731,27.73,72,20,20,20,20
33,port elizabeth,-33.918,25.5701,14.16,94,100,100,100,100
34,west island,-12.1568,96.8225,25.99,78,40,40,40,40
35,kodiak,57.79,-152.4072,13.73,88,100,100,100,100
36,saipan,15.1355,145.701,30.39,100,75,75,75,75
37,borca,47.1833,25.7667,9.45,93,70,70,70,70
38,santa cruz,-17.8,-63.1667,20.7,56,0,0,0,0
39,bethel,41.3712,-73.414,22.49,74,75,75,75,75
40,geraldton,-28.7667,114.6,16.23,77,0,0,0,0
41,bilibino,68.0546,166.4372,6.35,68,100,100,100,100
42,banff,51.1762,-115.5698,17.21,67,94,94,94,94
43,vila do maio,15.1333,-23.2167,26.44,75,100,100,100,100
44,erenhot,43.6475,111.9767,23.45,43,1,1,1,1
45,tura,25.5198,90.2201,24.41,95,100,100,100,100
46,udachny,66.4167,112.4,23.03,46,6,6,6,6
47,sherbakul',54.6316,72.3963,20.43,49,11,11,11,11
48,tromso,69.6496,18.957,20.77,88,100,100,100,100
49,guerrero negro,27.9769,-114.0611,24.48,76,15,15,15,15
50,iquique,-20.2208,-70.1431,19.02,78,35,35,35,35
51,nikolayevsk-on-amure,53.1406,140.73,21.45,59,100,100,100,100
52,virar,19.4667,72.8,28.05,82,100,100,100,100
53,vangviang,18.9333,102.45,23.97,99,100,100,100,100
54,bredasdorp,-34.5322,20.0403,8.8,90,0,0,0,0
55,luganville,-15.5333,167.1667,21.96,95,100,100,100,100
56,sorong,-0.8833,131.25,27.09,75,55,55,55,55
57,la passe,45.5549,-0.8967,14.99,62,0,0,0,0
58,ribeira grande,38.5167,-28.7,24.32,92,97,97,97,97
59,cabra,37.4725,-4.4421,26.16,39,69,69,69,69
60,steinkjer,64.193,11.3851,14.52,73,92,92,92,92
61,palmer,42.1584,-72.3287,21.75,80,75,75,75,75
62,thompson,55.7435,-97.8558,13.09,76,75,75,75,75
63,muisne,0.6,-80.0333,25.42,86,100,100,100,100
64,tvoroyri,61.5556,-6.8111,9.18,78,91,91,91,91
65,selfoss,63.9331,-20.9971,9.47,80,9,9,9,9
66,pandan,14.0453,124.1694,31.63,65,29,29,29,29
67,port mathurin,-19.6833,63.4167,22.43,59,92,92,92,92
68,altamira,-3.2033,-52.2064,25.7,72,47,47,47,47
69,rio de janeiro,-22.9028,-43.2075,20.98,88,100,100,100,100
70,lazaro cardenas,17.9583,-102.2,29.09,83,21,21,21,21
71,tazovsky,67.4667,78.7,9.48,92,100,100,100,100
72,bengkulu,-3.8004,102.2655,26.03,83,29,29,29,29
73,georgetown,5.4112,100.3354,29.97,78,20,20,20,20
74,puerto ayora,-0.7393,-90.3518,24.19,88,82,82,82,82
75,coquimbo,-29.9533,-71.3436,13.85,88,0,0,0,0
76,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,49,20,20,20,20
77,blackmans bay,-43.0167,147.3167,12.07,63,100,100,100,100
78,whitehorse,60.7161,-135.0538,15.43,82,75,75,75,75
79,invercargill,-46.4,168.35,6.68,76,89,89,89,89
80,margaret river,-33.95,115.0667,14.26,53,17,17,17,17
81,paso de los libres,-29.7131,-57.0899,15.02,67,0,0,0,0
82,hithadhoo,-0.6,73.0833,27.41,76,41,41,41,41
83,alangudi,10.3606,78.9849,28.61,65,100,100,100,100
84,sitka,57.0531,-135.33,14.94,82,100,100,100,100
85,awjilah,29.1081,21.2869,25.1,60,0,0,0,0
86,mahina,-17.5065,-149.489,25.87,78,75,75,75,75
87,murud,18.3258,72.965,26.59,84,93,93,93,93
88,sao jose da coroa grande,-8.8978,-35.1478,23.78,81,42,42,42,42
89,hadibu,12.65,54.0333,25.57,81,100,100,100,100
90,youngsville,30.0996,-91.9901,33.02,65,0,0,0,0
91,papao,-17.75,-149.55,25.82,84,100,100,100,100
92,andkhoy,36.9529,65.1238,27.88,28,0,0,0,0
93,newman,37.3138,-121.0208,34.52,36,0,0,0,0
94,saudarkrokur,65.7461,-19.6394,7.05,74,12,12,12,12
